"code","name","department","description","credits","url","college","subject"
"Academics","","","","","https://catalog.olemiss.edu/academics","",""
"Academics","","","","","https://catalog.olemiss.edu/academics/calendar","",""
"Academic Regulations","","","","","https://catalog.olemiss.edu/academics/regulations","",""
"Academics","","","","","https://catalog.olemiss.edu/academics/services","",""
"Academics","","","","","https://catalog.olemiss.edu/programs","",""
"Academics","","","","","https://catalog.olemiss.edu/minors","",""
"Academics","","","","","https://catalog.olemiss.edu/courses","",""
"Academics","","","","","https://catalog.olemiss.edu/faculty","",""
"Academics","","","","","https://catalog.olemiss.edu/courses/A","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/B","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/C","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/D","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/E","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/F","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/G","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/H","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/I","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/J","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/K","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/L","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/M","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/N","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/O","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/P","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/R","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/S","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/T","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/U","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/V","Course Index",""
"Academics","","","","","https://catalog.olemiss.edu/courses/W","Course Index",""
